userId,startDate,endDate,type,durationType
john.doe,2024-02-01,2024-02-01,ANNUAL_LEAVE,FIRST_HALF
john.doe,2024-02-02,2024-02-03,ANNUAL_LEAVE,FULL_DAY
jane.smith,2024-02-05,2024-02-05,ANNUAL_LEAVE,SECOND_HALF
jane.smith,2024-02-10,2024-02-15,ANNUAL_LEAVE,FULL_DAY
bob.wilson,2024-03-01,2024-03-01,OPTIONAL_HOLIDAY,FULL_DAY
alice.johnson,2024-03-05,2024-03-05,ANNUAL_LEAVE,FULL_DAY
charlie.brown,2024-03-10,2024-03-12,ANNUAL_LEAVE,FULL_DAY
diana.prince,2024-03-15,2024-03-15,OPTIONAL_HOLIDAY,FULL_DAY
eve.adams,2024-04-01,2024-04-01,ANNUAL_LEAVE,SECOND_HALF
frank.miller,2024-04-05,2024-04-08,ANNUAL_LEAVE,FULL_DAY
grace.lee,2024-04-10,2024-04-10,OPTIONAL_HOLIDAY,FULL_DAY
henry.davis,2024-04-15,2024-04-15,ANNUAL_LEAVE,FIRST_HALF
isaac.newton,2024-05-01,2024-05-03,ANNUAL_LEAVE,FULL_DAY
julia.roberts,2024-05-05,2024-05-05,OPTIONAL_HOLIDAY,FULL_DAY
kevin.bacon,2024-05-10,2024-05-10,ANNUAL_LEAVE,FULL_DAY
